SCAN,6ft_5,6ft_6,6ft_7,6ft_8,6ft_9,6ft_10,6ft_4,6ft_3,6ft_2,6ft_1,avg,cumsum
0,0.000007943282347,0.000006309573445,0.000007943282347,0.000006309573445,0.00001258925412,0.000002511886432,0.000006309573445,0.000006309573445,0.00001,0.000007943282347,0.000007416928137,0.000007416928137
1,0.0000006309573445,0.000006309573445,0.000007943282347,0.000007943282347,0.00000316227766,0.000006309573445,0.000007943282347,0.000002511886432,0.00001,0.000002511886432,0.00000552660018,0.00001294352832
2,0.000001584893192,0.000006309573445,0.000007943282347,0.000007943282347,0.000003981071706,0.000002511886432,0.000001995262315,0.000002511886432,0.000001995262315,0.000002511886432,0.000003928828696,0.00001687235701
3,0.000006309573445,0.000007943282347,0.00000316227766,0.00001,0.00001,0.000001995262315,0.00001,0.000006309573445,0.000002511886432,0.000002511886432,0.000006074374208,0.00002294673122
4,0.000007943282347,0.00000316227766,0.000006309573445,0.000001995262315,0.000007943282347,0.000001995262315,0.000007943282347,0.000006309573445,0.00001,0.000007943282347,0.000006154507857,0.00002910123908
5,0.000001995262315,0.000007943282347,0.000006309573445,0.00001,0.00000316227766,0.000002511886432,0.00001,0.000007943282347,0.000007943282347,0.000006309573445,0.000006411842034,0.00003551308111
6,0.000006309573445,0.000002511886432,0.00001,0.000007943282347,0.00001584893192,0.000006309573445,0.000007943282347,0.000002511886432,0.00001,0.000007943282347,0.000007732169872,0.00004324525098
7,0.000007943282347,0.000007943282347,0.00000316227766,0.00000316227766,0.00001584893192,0.00000316227766,0.00001,0.00001,0.00001,0.000006309573445,0.000007753190304,0.00005099844129
8,0.00000316227766,0.000002511886432,0.00001,0.000005011872336,0.00000316227766,0.000007943282347,0.000001995262315,0.00001,0.00001,0.000002511886432,0.000005629874518,0.00005662831581
9,0.000007943282347,0.000007943282347,0.000006309573445,0.00001,0.000003981071706,0.000007943282347,0.00001,0.000006309573445,0.000001995262315,0.000006309573445,0.00000687349014,0.00006350180595
10,0.000001584893192,0.000006309573445,0.00001,0.00001,0.00001,0.000007943282347,0.000002511886432,0.000002511886432,0.00001,0.000006309573445,0.000006717109529,0.00007021891547
11,0.00001,0.00000316227766,0.000006309573445,0.000007943282347,0.000007943282347,0.000007943282347,0.00001,0.000007943282347,0.000002511886432,0.000007943282347,0.000007170014927,0.0000773889304
12,0.000001995262315,0.000007943282347,0.000007943282347,0.00001,0.00001258925412,0.000006309573445,0.000007943282347,0.000001995262315,0.00000316227766,0.000001995262315,0.000006187673921,0.00008357660432
13,0.000002511886432,0.000006309573445,0.000002511886432,0.00001,0.00001,0.000006309573445,0.000002511886432,0.000002511886432,0.000002511886432,0.000005011872336,0.000005019045139,0.00008859564946
14,0.00000316227766,0.000001995262315,0.00001995262315,0.000001584893192,0.000007943282347,0.000006309573445,0.000001995262315,0.000007943282347,0.000002511886432,0.000007943282347,0.000006134162555,0.00009472981202
15,0.000006309573445,0.000007943282347,0.000007943282347,0.000007943282347,0.00001584893192,0.000006309573445,0.000001995262315,0.000007943282347,0.000002511886432,0.00001,0.000007474835695,0.0001022046477
16,0.00000316227766,0.000006309573445,0.00000316227766,0.000001584893192,0.000007943282347,0.00000316227766,0.000007943282347,0.00001,0.00001,0.00000316227766,0.000005643014197,0.0001078476619
17,0.000006309573445,0.00000316227766,0.00000316227766,0.000001584893192,0.00000316227766,0.000006309573445,0.000002511886432,0.000002511886432,0.000002511886432,0.000002511886432,0.000003373841879,0.0001112215038
18,0.000007943282347,0.000007943282347,0.00000316227766,0.000006309573445,0.00001584893192,0.000006309573445,0.000007943282347,0.00001,0.000002511886432,0.000006309573445,0.000007428166339,0.0001186496701
19,0.000001995262315,0.000006309573445,0.000002511886432,0.000007943282347,0.000002511886432,0.000006309573445,0.000007943282347,0.000007943282347,0.000007943282347,0.000006309573445,0.00000577208849,0.0001244217586
20,0.000001584893192,0.000002511886432,0.00001,0.000001584893192,0.00000316227766,0.000006309573445,0.000006309573445,0.00001,0.000002511886432,0.000006309573445,0.000005028455724,0.0001294502143
21,0.000006309573445,0.000007943282347,0.000002511886432,0.000007943282347,0.00000316227766,0.000006309573445,0.000006309573445,0.000007943282347,0.00000316227766,0.000002511886432,0.000005410689556,0.0001348609039
22,0.000005011872336,0.000002511886432,0.000007943282347,0.000001584893192,0.00002511886432,0.000006309573445,0.000007943282347,0.000002511886432,0.00001,0.000006309573445,0.00000752451143,0.0001423854153
23,0.00001,0.000007943282347,0.00001,0.00001,0.00001584893192,0.000007943282347,0.00001,0.000006309573445,0.000002511886432,0.000002511886432,0.000008306884292,0.0001506922996
24,0.000006309573445,0.000002511886432,0.000007943282347,0.00001,0.00000316227766,0.000006309573445,0.00001,0.000002511886432,0.000006309573445,0.000007943282347,0.000006300133555,0.0001569924332
25,0.000006309573445,0.000006309573445,0.00001,0.000007943282347,0.000007943282347,0.000002511886432,0.000007943282347,0.000002511886432,0.000006309573445,0.000002511886432,0.000006029422667,0.0001630218558
26,0.00001,0.000001995262315,0.000006309573445,0.00001,0.00000316227766,0.000006309573445,0.00001,0.000007943282347,0.000006309573445,0.000006309573445,0.00000683391161,0.0001698557675
27,0.000006309573445,0.000006309573445,0.000002511886432,0.000007943282347,0.000006309573445,0.000007943282347,0.000007943282347,0.000006309573445,0.00001,0.000002511886432,0.000006409191369,0.0001762649588
28,0.00001,0.000007943282347,0.000006309573445,0.000007943282347,0.00000316227766,0.000006309573445,0.000007943282347,0.000002511886432,0.00001,0.000007943282347,0.000007006644037,0.0001832716029
29,0.000005011872336,0.000006309573445,0.00001,0.000001584893192,0.000007943282347,0.000006309573445,0.000001995262315,0.000006309573445,0.000002511886432,0.000007943282347,0.00000559191993,0.0001888635228
30,0.000002511886432,0.00000316227766,0.00001,0.000001584893192,0.00000316227766,0.000003981071706,0.000002511886432,0.000007943282347,0.000006309573445,0.000007943282347,0.000004911043122,0.0001937745659
31,0.000001995262315,0.000006309573445,0.000006309573445,0.00001,0.000002511886432,0.000007943282347,0.000001995262315,0.000007943282347,0.00000316227766,0.000007943282347,0.000005611368265,0.0001993859342
32,0.000006309573445,0.000006309573445,0.000006309573445,0.000007943282347,0.00001258925412,0.000003981071706,0.00001,0.000007943282347,0.000006309573445,0.000006309573445,0.000007400475775,0.0002067864099
33,0.000007943282347,0.000006309573445,0.000007943282347,0.000007943282347,0.000007943282347,0.000002511886432,0.000007943282347,0.00001,0.00000316227766,0.000007943282347,0.000006964343162,0.0002137507531
34,0.000006309573445,0.000006309573445,0.000007943282347,0.00001,0.000007943282347,0.000003981071706,0.00001,0.000007943282347,0.00000316227766,0.00001,0.00000735923433,0.0002211099874
35,0.000006309573445,0.000007943282347,0.00000316227766,0.00001,0.000007943282347,0.000006309573445,0.00001,0.000007943282347,0.00001,0.000007943282347,0.000007755455394,0.0002288654428
36,0.000007943282347,0.000007943282347,0.000002511886432,0.000001584893192,0.000002511886432,0.000007943282347,0.000007943282347,0.00001,0.000007943282347,0.000007943282347,0.000006426836014,0.0002352922788
37,0.00001,0.000007943282347,0.000007943282347,0.00001,0.000007943282347,0.000006309573445,0.000007943282347,0.000007943282347,0.000006309573445,0.00000316227766,0.000007549783629,0.0002428420625
38,0.000007943282347,0.000001995262315,0.000007943282347,0.000007943282347,0.00000316227766,0.000002511886432,0.00000316227766,0.000001995262315,0.00001,0.000007943282347,0.000005460009577,0.0002483020721
39,0.000007943282347,0.000007943282347,0.000006309573445,0.000007943282347,0.00001258925412,0.000002511886432,0.000007943282347,0.000001995262315,0.000007943282347,0.000007943282347,0.000007106567039,0.0002554086391
40,0.000007943282347,0.000002511886432,0.000007943282347,0.000001995262315,0.00001258925412,0.000002511886432,0.00001,0.000007943282347,0.000006309573445,0.000007943282347,0.000006769099213,0.0002621777383
41,0.000006309573445,0.000007943282347,0.000006309573445,0.000007943282347,0.00001258925412,0.000005011872336,0.00001,0.000002511886432,0.000007943282347,0.00000316227766,0.000006972428448,0.0002691501668
42,0.00001,0.000007943282347,0.000007943282347,0.00001,0.00001584893192,0.000007943282347,0.000007943282347,0.00001,0.00000316227766,0.000007943282347,0.000008872762132,0.0002780229289
43,0.000002511886432,0.000001995262315,0.000002511886432,0.000001995262315,0.000007943282347,0.000002511886432,0.00000316227766,0.00001,0.000006309573445,0.00000316227766,0.000004210359504,0.0002822332884
44,0.000007943282347,0.000006309573445,0.000006309573445,0.000001584893192,0.00001258925412,0.000002511886432,0.000002511886432,0.000007943282347,0.000006309573445,0.000002511886432,0.000005652509164,0.0002878857976
45,0.00001,0.000007943282347,0.00001,0.000001584893192,0.000007943282347,0.000007943282347,0.000007943282347,0.000001995262315,0.00001,0.000006309573445,0.000007166285834,0.0002950520834
46,0.000007943282347,0.000007943282347,0.000002511886432,0.00001,0.00000316227766,0.000007943282347,0.000007943282347,0.000002511886432,0.00001,0.000007943282347,0.000006790246226,0.0003018423296
47,0.00001,0.000007943282347,0.000007943282347,0.000001584893192,0.000003981071706,0.000007943282347,0.000007943282347,0.00001,0.000001995262315,0.000002511886432,0.000006184624303,0.0003080269539
48,0.000001584893192,0.000002511886432,0.00000316227766,0.00001,0.000007943282347,0.000007943282347,0.00000316227766,0.00001,0.000002511886432,0.000006309573445,0.000005512935952,0.0003135398899
49,0.000001584893192,0.00001,0.00001,0.000007943282347,0.00000316227766,0.00000316227766,0.000001995262315,0.00001,0.000002511886432,0.000007943282347,0.000005830316195,0.0003193702061
50,0.000006309573445,0.000007943282347,0.00001,0.000001995262315,0.000007943282347,0.000007943282347,0.000002511886432,0.000001995262315,0.00001,0.000007943282347,0.00000645851139,0.0003258287175
51,0.000007943282347,0.000002511886432,0.000007943282347,0.00001,0.00000316227766,0.000006309573445,0.000001995262315,0.000001995262315,0.000002511886432,0.000006309573445,0.000005068228674,0.0003308969461
52,0.00001,0.000007943282347,0.000006309573445,0.000007943282347,0.000003981071706,0.000006309573445,0.000001995262315,0.000006309573445,0.000007943282347,0.00001,0.00000687349014,0.0003377704363
